author,title,source,time
Tom Norman, Finish Lady!,YouTube,2025-01-27 11:06:11.603628
Searanex, The boring stuff is Scott's fault,YouTube,2025-01-27 11:14:46.205407
macaddict89, LyUber driver,YouTube,2025-01-27 11:15:04.968812
WindMagus, Ride Share Quiver,YouTube,2025-01-27 11:15:12.500060
Ian L (i_am_scifi), We Pushed Uber,YouTube,2025-01-27 11:15:19.971681
Tim Watson (TRPW), Brian Lubers,YouTube,2025-01-27 11:15:55.588144
Searanex, Uber hive,YouTube,2025-01-27 11:16:19.852247
Ian L (i_am_scifi), I'm The Blue Dot in the Center,YouTube,2025-01-27 11:16:49.709847
Searanex, Covered by cars,YouTube,2025-01-27 11:16:57.303129
WindMagus," Uber vehicle is black, it’s supposed to be black.",YouTube,2025-01-27 11:17:10.299456
Dr.Calhoun, It has to be black,YouTube,2025-01-27 11:17:17.820595
Ikcor, Once you go Uber Black you can't Lyft back,YouTube,2025-01-27 11:17:25.458927
macaddict89, I want rides quick and when one rides done I want the next one,YouTube,2025-01-27 11:17:55.331816
Tim Watson (TRPW), Luberication,YouTube,2025-01-27 11:18:08.516033
Ian L (i_am_scifi), (v) I Uber Eats!,YouTube,2025-01-27 11:18:27.190025
Searanex, Uber Eats up my time,YouTube,2025-01-27 11:18:34.797061
Ian L (i_am_scifi), Cookie Dough Snow,YouTube,2025-01-27 11:18:58.947937
Matooba," cookie dough snow, if you eat it raw you get the shits",YouTube,2025-01-27 11:19:23.238446
Ikcor, Car Karma,YouTube,2025-01-27 11:20:15.416253
ZoeBringsBacon, Coverme Car Rides,YouTube,2025-01-27 11:21:01.894528
Searanex, Stop ordering drinks!,YouTube,2025-01-27 11:22:55.242673
Ikcor," It's Uber EATS, not Uber DRINKS!",YouTube,2025-01-27 11:23:02.708090
hugeackman, big gnarly ask,YouTube,2025-01-27 11:23:10.214395
Tim Watson (TRPW), Stick a dirty hot dog in it,YouTube,2025-01-27 11:23:34.398701
Sunbun, Coky Cola on your Seaty Seaty,YouTube,2025-01-27 11:23:53.076284
Searanex, Cokey cola on your seaty seat,YouTube,2025-01-27 11:23:55.082041
Matooba, No Major Spillers,YouTube,2025-01-27 11:25:04.162429
WindMagus, Jesus Monkeypants,YouTube,2025-01-27 11:25:28.696462
Searanex, Brian won't finger your frosty,YouTube,2025-01-27 11:25:47.488374
shibbyllama, Uber Smeats,YouTube,2025-01-27 11:26:34.009106
Sunbun, New Jersey Michael's 2: Michael's Way,YouTube,2025-01-27 11:26:47.108453
Tim Watson (TRPW), Bad Chicken Experience,YouTube,2025-01-27 11:28:34.702321
Sunbun, New Jersey Michael's 2: Michael's Method,YouTube,2025-01-27 11:28:42.239383
Tim Watson (TRPW), New Jersey Michael's Methos,YouTube,2025-01-27 11:29:00.854907
Searanex, password14,YouTube,2025-01-27 11:30:04.243964
Biocow, Pro tip: Never change your password,YouTube,2025-01-27 11:30:33.910626
WindMagus, 12345? Amazing I have the same password on my WiFi.,YouTube,2025-01-27 11:30:41.707054
Dr.Calhoun, Cameras blaring,YouTube,2025-01-27 11:31:11.696044
Tim Russell, Kim - Get that camera sh*t worked out while I'm gone,YouTube,2025-01-27 11:31:35.640845
Searanex," Apparently, turning it off and back DOES work.",YouTube,2025-01-27 11:31:43.164811
WindMagus, The votes and the whatnot,YouTube,2025-01-27 11:32:07.509284
Searanex, Pope Fight 3D,YouTube,2025-01-27 11:32:37.427740
Dr.Calhoun, the nuns have all their makeup removed,YouTube,2025-01-27 11:33:01.634664
Tim Watson (TRPW), Conclave Nun-sense,YouTube,2025-01-27 11:33:25.859867
WindMagus, How many women were in Conclave? Nun.,YouTube,2025-01-27 11:33:33.213776
Tim Russell, Electing a Pope. Just like a horror movie.,YouTube,2025-01-27 11:33:57.597640
Searanex, Parasite: 2 years. Conclave: 2 weeks,YouTube,2025-01-27 11:35:39.684304
Dr.Calhoun, Bjork is my filling time,YouTube,2025-01-27 11:36:03.917608
WindMagus, Icelandic Cirque de solei,YouTube,2025-01-27 11:37:12.835767
Dylan Hopwood, May the Bjork be with you,YouTube,2025-01-27 11:39:17.570107
WindMagus, Replace the battery in your smoke alarm.,YouTube,2025-01-27 11:40:31.728850
Tim Russell, Randy Doesn't Want The Trolls To Die In a Fire,YouTube,2025-01-27 11:40:55.975747
Lydia Grace Bauer, Beep…..Beep…..Beep…..,YouTube,2025-01-27 11:41:09.135287
WindMagus, Don’t look up Catch the Parakeet on Urban Dictionary,YouTube,2025-01-27 11:41:22.200389
Searanex, Starlings are the problem,YouTube,2025-01-27 11:42:08.729664
Josh3point0_CTG, Starlings aren't real,YouTube,2025-01-27 11:42:38.521935
Ian L (i_am_scifi), Today Scott is Brian,YouTube,2025-01-27 11:42:40.592571
Searanex, Half-asses with Scott and Bri-andy,YouTube,2025-01-27 11:42:59.414397
Ian L (i_am_scifi), Starling Has a Bad Connection,YouTube,2025-01-27 11:43:06.934103
WindMagus, It’s tomorrow over there,YouTube,2025-01-27 11:43:08.961128
Tim Watson (TRPW)," Investing in a VEGAN partnership, if you know what I mean",YouTube,2025-01-27 11:44:17.822349
Searanex, What are ya? The 1700's?,YouTube,2025-01-27 11:44:30.846157
Ikcor, Learning the Rules with Randy,YouTube,2025-01-27 11:47:31.720060
Ikcor, I don't like hummingbird BEEEEEES!,YouTube,2025-01-27 11:48:29.281800
Dr.Calhoun, we got a big old continent here,YouTube,2025-01-27 11:49:21.389557
Searanex, Miniseconds,YouTube,2025-01-27 11:49:28.892154
Searanex, Helicopters run at the speed of dial up lag,YouTube,2025-01-27 11:50:04.288420
Searanex, Cran or Crayon?,YouTube,2025-01-27 11:51:07.537438
Searanex, The loser is the real winner,YouTube,2025-01-27 11:54:18.965808
Monica Stone, Way to make the winner feel like a loser,YouTube,2025-01-27 11:54:20.925144
Sunbun, Have a Goat-Off,YouTube,2025-01-27 11:56:31.084721
Tim Watson (TRPW), Staring at Taylor's Booth,YouTube,2025-01-27 11:56:38.626823
WindMagus, ESPN Half-Asses,YouTube,2025-01-27 11:57:47.409120
