author,title,source,time
moose2271,Photoshop Phoebe,showbot,Scraped
Tim Watson (TRPW), Scott's a Messy Bessie (preshow),YouTube,2025-02-17 11:06:45.880130
JKGrammer, Mayor Cat,YouTube,2025-02-17 11:10:43.137176
Ambassador Domo, Mayor is a Democat,YouTube,2025-02-17 11:13:05.135102
sean stretten, puke stick seeks scott,YouTube,2025-02-17 11:15:10.401045
Red Fraggle, The Muppet and the President,YouTube,2025-02-17 11:15:23.557317
JKGrammer, Never met a real Grover,YouTube,2025-02-17 11:15:31.023214
JayFunktastic," Grover Cleveland, never forget",YouTube,2025-02-17 11:15:44.133241
WindMagus, Name your child Grover,YouTube,2025-02-17 11:15:51.697110
Tim Watson (TRPW), Grover The first Muppet President,YouTube,2025-02-17 11:15:53.850253
Clare Gak, Adolf Grover,YouTube,2025-02-17 11:16:18.298143
JKGrammer, Adolf Grover was a pud,YouTube,2025-02-17 11:16:25.899507
Monica Stone, Scott Breaks His Record For the First Time AGAIN!,YouTube,2025-02-17 11:16:33.316362
Josh3point0_CTG, No Bad Grovers,YouTube,2025-02-17 11:16:40.886222
Dr.Calhoun, One of the Homes,YouTube,2025-02-17 11:20:09.863551
Tim Watson (TRPW), Oh Brave New World that hath such Avengers in it,YouTube,2025-02-17 11:20:17.519946
ZoeBringsBacon, Tracking Scott's Back,YouTube,2025-02-17 11:20:41.768015
Clare Gak, Isn't there a Spiderman Film Called Something Home..?,YouTube,2025-02-17 11:20:49.568599
Tim Watson (TRPW), They're Just Walls Now,YouTube,2025-02-17 11:21:53.251889
JKGrammer, Nacho Bag,YouTube,2025-02-17 11:22:45.923117
Disturbed Angel, Hand Chips,YouTube,2025-02-17 11:22:47.920052
Dr.Calhoun, Nachos in a bag,YouTube,2025-02-17 11:22:55.267011
WindMagus, Future Spirit Halloween location,YouTube,2025-02-17 11:25:06.702730
Tim Watson (TRPW)," (s) Whack for my Movie-o, There's Nachos in the bag-o (Whiskey in the Jar - Thin Lizzy)",YouTube,2025-02-17 11:25:25.522706
sean stretten," howard huges invites to his new theater, leave pee in a jar",YouTube,2025-02-17 11:26:51.252432
JKGrammer, Full Frontal Ford,YouTube,2025-02-17 11:27:04.411187
Tim Watson (TRPW), 1-800 DIAL-A-DESTINY,YouTube,2025-02-17 11:27:06.323370
Brian Dunaway, Brave Nude World,YouTube,2025-02-17 11:27:08.268211
Tim Watson (TRPW), A Whole Lotta Harrison,YouTube,2025-02-17 11:27:26.856372
Rufus T. Cat, we wanted a mid-credit stinger but she wouldn’t give us any,YouTube,2025-02-17 11:28:30.181535
JKGrammer, Mexi-Roid,YouTube,2025-02-17 11:29:39.230866
JKGrammer, 2% chance of roids,YouTube,2025-02-17 11:30:25.975943
WindMagus, The 2 percent list,YouTube,2025-02-17 11:30:50.422837
Clare Gak," (s) Scott Does Probabilities, dodoodo dodo doo",YouTube,2025-02-17 11:32:49.679278
Matthew Sargent, Leapday Wolfgang Struck by Lightning,YouTube,2025-02-17 11:35:28.314817
ZoeBringsBacon, Six Fingered AI Action,YouTube,2025-02-17 11:35:30.267278
Dr.Calhoun, made up face stats,YouTube,2025-02-17 11:35:54.916333
WindMagus, Six Finger AI vibes,YouTube,2025-02-17 11:36:02.532295
Disturbed Angel, Brian Ibbo Movie Goer and Gambler Man.,YouTube,2025-02-17 11:37:17.132750
Ambassador Domo, This Discussion of Odds is Odd,YouTube,2025-02-17 11:38:03.887187
Tim Russell, Imagine if LLMs Wrote Titles 2%,YouTube,2025-02-17 11:40:47.992391
sean stretten, slap happy ure wippers,YouTube,2025-02-17 11:42:36.364848
WindMagus, I still get coffee cause of course I do.,YouTube,2025-02-17 11:44:41.323479
sean stretten, planes trains and whipers,YouTube,2025-02-17 11:44:54.368860
Dr.Calhoun, bring those wipers black,YouTube,2025-02-17 11:45:57.892481
Tim Russell, What Are The Odds of Losing Your Windshield Wiper in The Snow?,YouTube,2025-02-17 11:46:50.707821
Raven_ctg, today's show brought to you today by AutoZone,YouTube,2025-02-17 11:48:06.171505
JayFunktastic, the two percent podcast,YouTube,2025-02-17 11:48:35.974903
Ryan Smith, theres a 2% chance today's episode will be bad,YouTube,2025-02-17 11:48:49.178119
Matthew Sargent," Nice, Supple Rubber",YouTube,2025-02-17 11:48:56.990288
